source,task,notes,scene,fixtures,language_instruction,bddl_goal,bddl_objects
libero_90,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,L90 Base Task,Study,"study_table (study_table), desk_caddy_1 (desk_caddy)",pick up the book and place it in the left compartment of the caddy,(And (In black_book_1 desk_caddy_1_left_contain_region),black_book_1 - black_book; white_yellow_mug_1 - white_yellow_mug
libero_90,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy,L90 Base Task,Study,"study_table (study_table), desk_caddy_1 (desk_caddy)",pick up the book and place it in the right compartment of the caddy,(And (In black_book_1 desk_caddy_1_right_contain_region),black_book_1 - black_book; white_yellow_mug_1 - white_yellow_mug
libero_90,STUDY_SCENE1_pick_up_the_yellow_and_white_mug_and_place_it_to_the_right_of_the_caddy,L90 Base Task,Study,"study_table (study_table), desk_caddy_1 (desk_caddy)",pick up the yellow and white mug and place it to the right of the caddy,(And (On white_yellow_mug_1 study_table_desk_caddy_right_region),black_book_1 - black_book; white_yellow_mug_1 - white_yellow_mug
libero_90,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,L90 Base Task,Study,"study_table (study_table), desk_caddy_1 (desk_caddy)",pick up the book and place it in the back compartment of the caddy,(And (In black_book_1 desk_caddy_1_back_contain_region),black_book_1 - black_book; red_coffee_mug_1 - red_coffee_mug
libero_90,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy,L90 Base Task,Study,"study_table (study_table), desk_caddy_1 (desk_caddy)",pick up the book and place it in the front compartment of the caddy,(And (In black_book_1 desk_caddy_1_front_contain_region),black_book_1 - black_book; red_coffee_mug_1 - red_coffee_mug
libero_90,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,L90 Base Task,Study,"study_table (study_table), desk_caddy_1 (desk_caddy)",pick up the book and place it in the left compartment of the caddy,(And (In black_book_1 desk_caddy_1_left_contain_region),black_book_1 - black_book; red_coffee_mug_1 - red_coffee_mug
libero_90,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy,L90 Base Task,Study,"study_table (study_table), desk_caddy_1 (desk_caddy)",pick up the book and place it in the right compartment of the caddy,(And (In black_book_1 desk_caddy_1_right_contain_region),black_book_1 - black_book; red_coffee_mug_1 - red_coffee_mug
libero_90,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy,L90 Base Task,Study,"study_table (study_table), desk_caddy_1 (desk_caddy)",pick up the book and place it in the front compartment of the caddy,(And (In black_book_1 desk_caddy_1_front_contain_region),black_book_1 - black_book; red_coffee_mug_1 - red_coffee_mug; porcelain_mug_1 - porcelain_mug
libero_90,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,L90 Base Task,Study,"study_table (study_table), desk_caddy_1 (desk_caddy)",pick up the book and place it in the left compartment of the caddy,(And (In black_book_1 desk_caddy_1_left_contain_region),black_book_1 - black_book; red_coffee_mug_1 - red_coffee_mug; porcelain_mug_1 - porcelain_mug
libero_90,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy,L90 Base Task,Study,"study_table (study_table), desk_caddy_1 (desk_caddy)",pick up the book and place it in the right compartment of the caddy,(And (In black_book_1 desk_caddy_1_right_contain_region),black_book_1 - black_book; red_coffee_mug_1 - red_coffee_mug; porcelain_mug_1 - porcelain_mug
libero_90,STUDY_SCENE3_pick_up_the_red_mug_and_place_it_to_the_right_of_the_caddy,L90 Base Task,Study,"study_table (study_table), desk_caddy_1 (desk_caddy)",pick up the red mug and place it to the right compartment of the caddy,(And (On red_coffee_mug_1 study_table_desk_caddy_right_region),black_book_1 - black_book; red_coffee_mug_1 - red_coffee_mug; porcelain_mug_1 - porcelain_mug
libero_90,STUDY_SCENE3_pick_up_the_white_mug_and_place_it_to_the_right_of_the_caddy,L90 Base Task,Study,"study_table (study_table), desk_caddy_1 (desk_caddy)",pick up the white mug and place it to the right compartment of the caddy,(And (On porcelain_mug_1 study_table_desk_caddy_right_region),black_book_1 - black_book; red_coffee_mug_1 - red_coffee_mug; porcelain_mug_1 - porcelain_mug
libero_90,STUDY_SCENE4_pick_up_the_book_in_the_middle_and_place_it_on_the_cabinet_shelf,L90 Base Task,Study,"study_table (study_table), wooden_two_layer_shelf_1 (wooden_two_layer_shelf)",pick up the book in the middle and place it on the cabinet shelf,(And (In black_book_1 wooden_two_layer_shelf_1_top_region),black_book_1 - black_book; yellow_book_1 yellow_book_2 - yellow_book
libero_90,STUDY_SCENE4_pick_up_the_book_on_the_left_and_place_it_on_top_of_the_shelf,L90 Base Task,Study,"study_table (study_table), wooden_two_layer_shelf_1 (wooden_two_layer_shelf)",pick up the book on the left and place it on top of the shelf,(And (On yellow_book_2 wooden_two_layer_shelf_1_top_side),black_book_1 - black_book; yellow_book_1 yellow_book_2 - yellow_book
libero_90,STUDY_SCENE4_pick_up_the_book_on_the_right_and_place_it_on_the_cabinet_shelf,L90 Base Task,Study,"study_table (study_table), wooden_two_layer_shelf_1 (wooden_two_layer_shelf)",pick up the book on the right and place it on the cabinet shelf,(And (In yellow_book_1 wooden_two_layer_shelf_1_top_region),black_book_1 - black_book; yellow_book_1 yellow_book_2 - yellow_book
libero_90,STUDY_SCENE4_pick_up_the_book_on_the_right_and_place_it_under_the_cabinet_shelf,L90 Base Task,Study,"study_table (study_table), wooden_two_layer_shelf_1 (wooden_two_layer_shelf)",pick up the book on the right and place it under the cabinet shelf,(And (In yellow_book_1 wooden_two_layer_shelf_1_bottom_region),black_book_1 - black_book; yellow_book_1 yellow_book_2 - yellow_book
libero_10,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,Sequential pattern,Kitchen,"kitchen_table (kitchen_table), flat_stove_1 (flat_stove)",turn on the stove and put the moka pot on it,(And (Turnon flat_stove_1) (On moka_pot_1 flat_stove_1_cook_region),chefmate_8_frypan_1 - chefmate_8_frypan; moka_pot_1 - moka_pot
libero_10,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,Sequential pattern,Kitchen,"kitchen_table (kitchen_table), white_cabinet_1 (white_cabinet), wine_rack_1 (wine_rack)",put the black bowl in the bottom drawer of the cabinet and close it,(And (Close white_cabinet_1_bottom_region) (In akita_black_bowl_1 white_cabinet_1_bottom_region),akita_black_bowl_1 - akita_black_bowl; wine_bottle_1 - wine_bottle
libero_10,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,Sequential pattern,Kitchen,"kitchen_table (kitchen_table), microwave_1 (microwave)",put the yellow and white mug in the microwave and close it,(And (In white_yellow_mug_1 microwave_1_heating_region) (Close microwave_1),porcelain_mug_1 - porcelain_mug; white_yellow_mug_1 - white_yellow_mug
libero_10,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,Multi-object pattern,Kitchen,"kitchen_table (kitchen_table), flat_stove_1 (flat_stove)",put both moka pots on the stove,(And (On moka_pot_1 flat_stove_1_cook_region) (On moka_pot_2 flat_stove_1_cook_region) (Turnon flat_stove_1),moka_pot_1 moka_pot_2 - moka_pot
libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket,Object coverage,Object Tabletop,floor (floor),Pick the alphabet soup and place it in the basket,(And (In alphabet_soup_1 basket_1_contain_region),alphabet_soup_1 - alphabet_soup; basket_1 - basket; salad_dressing_1 - salad_dressing; cream_cheese_1 - cream_cheese; milk_1 - milk; tomato_sauce_1 - tomato_sauce; butter_1 - butter
libero_object,pick_up_the_butter_and_place_it_in_the_basket,Object coverage,Object Tabletop,floor (floor),Pick the butter and place it in the basket,(And (In butter_1 basket_1_contain_region),butter_1 - butter; basket_1 - basket; tomato_sauce_1 - tomato_sauce; orange_juice_1 - orange_juice; chocolate_pudding_1 - chocolate_pudding; bbq_sauce_1 - bbq_sauce; ketchup_1 - ketchup
libero_object,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,Object coverage,Object Tabletop,floor (floor),Pick the chocolate pudding and place it in the basket,(And (In chocolate_pudding_1 basket_1_contain_region),chocolate_pudding_1 - chocolate_pudding; basket_1 - basket; orange_juice_1 - orange_juice; bbq_sauce_1 - bbq_sauce; ketchup_1 - ketchup; salad_dressing_1 - salad_dressing; alphabet_soup_1 - alphabet_soup
libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket,Object coverage,Object Tabletop,floor (floor),Pick the cream cheese and place it in the basket,(And (In cream_cheese_1 basket_1_contain_region),cream_cheese_1 - cream_cheese; basket_1 - basket; alphabet_soup_1 - alphabet_soup; milk_1 - milk; tomato_sauce_1 - tomato_sauce; butter_1 - butter; orange_juice_1 - orange_juice
libero_object,pick_up_the_ketchup_and_place_it_in_the_basket,Object coverage,Object Tabletop,floor (floor),Pick the ketchup and place it in the basket,(And (In ketchup_1 basket_1_contain_region),ketchup_1 - ketchup; basket_1 - basket; bbq_sauce_1 - bbq_sauce; salad_dressing_1 - salad_dressing; alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; milk_1 - milk
libero_object,pick_up_the_milk_and_place_it_in_the_basket,Object coverage,Object Tabletop,floor (floor),Pick the milk and place it in the basket,(And (In milk_1 basket_1_contain_region),milk_1 - milk; basket_1 - basket; cream_cheese_1 - cream_cheese; tomato_sauce_1 - tomato_sauce; butter_1 - butter; orange_juice_1 - orange_juice; chocolate_pudding_1 - chocolate_pudding
libero_object,pick_up_the_orange_juice_and_place_it_in_the_basket,Object coverage,Object Tabletop,floor (floor),Pick the orange juice and place it in the basket,(And (In orange_juice_1 basket_1_contain_region),orange_juice_1 - orange_juice; basket_1 - basket; butter_1 - butter; chocolate_pudding_1 - chocolate_pudding; bbq_sauce_1 - bbq_sauce; ketchup_1 - ketchup; salad_dressing_1 - salad_dressing
libero_object,pick_up_the_salad_dressing_and_place_it_in_the_basket,Object coverage,Object Tabletop,floor (floor),Pick the salad dressing and place it in the basket,(And (In salad_dressing_1 basket_1_contain_region),salad_dressing_1 - salad_dressing; basket_1 - basket; ketchup_1 - ketchup; alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese; milk_1 - milk; tomato_sauce_1 - tomato_sauce
libero_object,pick_up_the_tomato_sauce_and_place_it_in_the_basket,Object coverage,Object Tabletop,floor (floor),Pick the tomato sauce and place it in the basket,(And (In tomato_sauce_1 basket_1_contain_region),tomato_sauce_1 - tomato_sauce; basket_1 - basket; milk_1 - milk; butter_1 - butter; orange_juice_1 - orange_juice; chocolate_pudding_1 - chocolate_pudding; bbq_sauce_1 - bbq_sauce
libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket,NEW: exposes bbq_sauce object,Object Tabletop,floor (floor),Pick the bbq sauce and place it in the basket,(And (In bbq_sauce_1 basket_1_contain_region),bbq_sauce_1 - bbq_sauce; basket_1 - basket; chocolate_pudding_1 - chocolate_pudding; ketchup_1 - ketchup; salad_dressing_1 - salad_dressing; alphabet_soup_1 - alphabet_soup; cream_cheese_1 - cream_cheese
libero_goal,put_the_bowl_on_the_plate,L-Goal scene exposure,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",Put the bowl on the plate,(And (On akita_black_bowl_1 plate_1),akita_black_bowl_1 - akita_black_bowl; cream_cheese_1 - cream_cheese; wine_bottle_1 - wine_bottle; plate_1 - plate
libero_goal,put_the_bowl_on_top_of_the_cabinet,L-Goal scene exposure,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",Put the bowl on the top of the drawer,(And (On akita_black_bowl_1 wooden_cabinet_1_top_side),akita_black_bowl_1 - akita_black_bowl; cream_cheese_1 - cream_cheese; wine_bottle_1 - wine_bottle; plate_1 - plate
libero_goal,put_the_wine_bottle_on_the_rack,L-Goal scene exposure,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",Put the wine bottle on the rack,(And (On wine_bottle_1 wine_rack_1_top_region),akita_black_bowl_1 - akita_black_bowl; cream_cheese_1 - cream_cheese; wine_bottle_1 - wine_bottle; plate_1 - plate
libero_goal,turn_on_the_stove,L-Goal scene exposure,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",Turn on the stove,(And (Turnon flat_stove_1),akita_black_bowl_1 - akita_black_bowl; cream_cheese_1 - cream_cheese; wine_bottle_1 - wine_bottle; plate_1 - plate
libero_goal,push_the_plate_to_the_front_of_the_stove,NEW: exposes 'push' action,Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",Push the plate to the front of the stove,(And (On plate_1 main_table_stove_front_region),akita_black_bowl_1 - akita_black_bowl; cream_cheese_1 - cream_cheese; wine_bottle_1 - wine_bottle; plate_1 - plate
libero_goal,open_the_middle_drawer_of_the_cabinet,NEW: exposes 'middle drawer',Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",Open the middle layer of the drawer,(And (Open wooden_cabinet_1_middle_region),akita_black_bowl_1 - akita_black_bowl; cream_cheese_1 - cream_cheese; wine_bottle_1 - wine_bottle; plate_1 - plate
libero_goal,put_the_cream_cheese_in_the_bowl,NEW: exposes 'bowl as receptacle',Goal Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove), wine_rack_1 (wine_rack)",Put the cream cheese on the bowl,(And (On cream_cheese_1 akita_black_bowl_1),akita_black_bowl_1 - akita_black_bowl; cream_cheese_1 - cream_cheese; wine_bottle_1 - wine_bottle; plate_1 - plate
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,L-Spatial scene + ramekin,Spatial Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove)",Pick the akita black bowl on the ramekin and place it on the plate,(And (On akita_black_bowl_1 plate_1),akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; cookies_1 - cookies; glazed_rim_porcelain_ramekin_1 - glazed_rim_porcelain_ramekin; plate_1 - plate
libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,cookie_box exposure,Spatial Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove)",Pick the akita black bowl on the cookies box and place it on the plate,(And (On akita_black_bowl_1 plate_1),akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; cookies_1 - cookies; glazed_rim_porcelain_ramekin_1 - glazed_rim_porcelain_ramekin; plate_1 - plate
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,next_to relation,Spatial Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove)",Pick the akita black bowl next to the ramekin and place it on the plate,(And (On akita_black_bowl_1 plate_1),akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; cookies_1 - cookies; glazed_rim_porcelain_ramekin_1 - glazed_rim_porcelain_ramekin; plate_1 - plate
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,between relation,Spatial Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove)",Pick the akita black bowl between the plate and the ramekin and place it on the plate,(And (On akita_black_bowl_1 plate_1),akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; cookies_1 - cookies; glazed_rim_porcelain_ramekin_1 - glazed_rim_porcelain_ramekin; plate_1 - plate
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,stove in L-Spatial,Spatial Tabletop,"main_table (table), wooden_cabinet_1 (wooden_cabinet), flat_stove_1 (flat_stove)",Pick the akita black bowl on the stove and place it on the plate,(And (On akita_black_bowl_1 plate_1),akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; cookies_1 - cookies; glazed_rim_porcelain_ramekin_1 - glazed_rim_porcelain_ramekin; plate_1 - plate
